digit,count,name
0,999440,π
1,999333,π
2,1000306,π
3,999965,π
4,1001093,π
5,1000466,π
6,999337,π
7,1000206,π
8,999814,π
9,1000040,π
0,998678,e
1,1000577,e
2,999157,e
3,1001716,e
4,1000307,e
5,999903,e
6,998868,e
7,1000813,e
8,999703,e
9,1000278,e
0,1001143,φ
1,1000119,φ
2,1000776,φ
3,999794,φ
4,999366,φ
5,999725,φ
6,999455,φ
7,1000852,φ
8,1000059,φ
9,998711,φ
0,999897,√2
1,1000114,√2
2,1000208,√2
3,999674,√2
4,1000126,√2
5,999358,√2
6,1001246,√2
7,999359,√2
8,999452,√2
9,1000566,√2
0,1000172,√3
1,1001548,√3
2,1000263,√3
3,998943,√3
4,998647,√3
5,999993,√3
6,999976,√3
7,1000059,√3
8,1000650,√3
9,999749,√3
0,1000512,ln 2
1,1001157,ln 2
2,998535,ln 2
3,999426,ln 2
4,1000673,ln 2
5,998290,ln 2
6,999325,ln 2
7,1001103,ln 2
8,1000757,ln 2
9,1000222,ln 2
0,1000356,ln 10
1,998340,ln 10
2,1000880,ln 10
3,999329,ln 10
4,998402,ln 10
5,1001381,ln 10
6,999489,ln 10
7,1000327,ln 10
8,1001811,ln 10
9,999685,ln 10
0,999784,Catalan G
1,1000293,Catalan G
2,1001789,Catalan G
3,999672,Catalan G
4,1000165,Catalan G
5,999965,Catalan G
6,998712,Catalan G
7,1000510,Catalan G
8,999298,Catalan G
9,999812,Catalan G
0,999853,Euler γ
1,1000601,Euler γ
2,998927,Euler γ
3,1000766,Euler γ
4,1001444,Euler γ
5,1002104,Euler γ
6,999530,Euler γ
7,998692,Euler γ
8,998534,Euler γ
9,999549,Euler γ
0,999416,Lemniscate ϖ
1,1001369,Lemniscate ϖ
2,1000174,Lemniscate ϖ
3,999397,Lemniscate ϖ
4,999623,Lemniscate ϖ
5,1001296,Lemniscate ϖ
6,1000689,Lemniscate ϖ
7,1000081,Lemniscate ϖ
8,999156,Lemniscate ϖ
9,998799,Lemniscate ϖ
