name,N,p_odd,ci_low,ci_high,runs,trans_EE,trans_EO,trans_OE,trans_OO,trans_chisq,trans_df,trans_p,max_abs_D,max_abs_D_over_sqrtN,digit_chisq,digit_df,digit_p,mono_z,mono_p,runs_z,runs_p,serial2_chisq,serial2_df,serial2_p,serial3_chisq,serial3_df,serial3_p,apen_m2
π,10000000,0.500001,0.499691102542987,0.500310897456245,4996995,2501493,2498497,2498497,2501512,3.61328466132847,3,0.306363959939803,4380,1.38507761515375,2.783356,9,0.972268406434594,0.00632455532033676,0.994953768597525,-1.90116141170971,0.0572808737559218,3.6144944,3,0.30621335371306,9.9188896,7,0.193216712429122,0.693147495466949
e,10000000,0.5003287,0.500018802484067,0.500638597263396,4997038,2498194,2498519,2498518,2504768,12.1540591154059,3,0.00687362701686377,6940,2.19462069615686,7.947462,9,0.5394493629115,2.07888133379469,0.0376282587870944,-1.87259998774771,0.0611236430369999,12.1528728,3,0.00687741465704522,29.5168336,7,0.000116423238704415,0.693148049781736
φ,10000000,0.4999201,0.499610202578021,0.500229997483366,5000764,2500417,2500381,2500382,2498819,0.743893974389397,3,0.862834237656952,2186,0.691273896512808,5.130734,9,0.822766125252204,0.505331970094907,0.613325691765887,0.482644359447659,0.629348276448341,0.7441992,3,0.862761833510774,3.270208,7,0.858931777340731,0.693147306831503
√2,10000000,0.4999071,0.499597202584407,0.500216997486968,5002823,2499518,2501411,2501411,2497659,3.87777908777791,3,0.274967818004683,3604,1.13968486872468,3.185242,9,0.956495411837385,0.587551189259285,0.556833581799296,1.78489882927229,0.0742777286044463,3.8759064,3,0.275179541393013,11.5052896,7,0.118046848982932,0.69314756162661
√3,10000000,0.5000292,0.499719302532682,0.500339097444884,5001118,2499149,2500558,2500559,2499733,0.567733956773396,3,0.9037775523997,4142,1.30981540684174,5.932522,9,0.746652340580278,0.184677015353833,0.853482375150971,0.706463652152186,0.479899849000284,0.5681808,3,0.903676419435835,3.3014304,7,0.855788484889281,0.693147317241558
ln 2,10000000,0.5000198,0.499709902536008,0.50032969744878,5000587,2499508,2500293,2500293,2499905,0.169114716911472,3,0.98241412585906,3926,1.24151020938211,9.74809,9,0.371261143398467,0.125226195342668,0.900344479590395,0.370623919841528,0.710917663507115,0.1687216,3,0.982473362417385,4.2186528,7,0.754276618311034,0.693147383092426
ln 10,10000000,0.4999062,0.499596302584857,0.500216097487209,5000723,2500576,2500361,2500361,2498701,0.911927591192759,3,0.822548494352894,2953,0.933820593047722,12.314738,9,0.19614178402979,0.593243289047588,0.5530183457786,0.456744225481526,0.647854898930584,0.9123888,3,0.822437123870112,2.2110816,7,0.947239736542126,0.693147245528683
Catalan G,10000000,0.5000252,0.499715302534084,0.500335097446555,5001136,2499180,2500568,2500567,2499684,0.566547556654756,3,0.904045983968776,2568,0.81207290313124,5.916252,9,0.74827003154976,0.159378794072486,0.873370445227005,0.71784509926564,0.472852802144325,0.5670016,3,0.903943267750707,5.5610976,7,0.59182493932521,0.693147430230611
Euler γ,10000000,0.5001712,0.499861302495771,0.500481097372698,4999727,2498424,2499863,2499863,2501849,2.37604613760461,3,0.498109202133306,4292,1.35724957174427,12.917168,9,0.166390283259422,1.08276387084165,0.278913245802429,-0.172922106346559,0.862712655056954,2.3747856,3,0.498345533135434,5.8205728,7,0.560849608866968,0.693147352948898
Lemniscate ϖ,10000000,0.5000942,0.499784302512684,0.500404097414943,5000656,2498730,2500327,2500328,2500614,0.881763588176359,3,0.82982629496554,3125,0.988211768802618,7.066866,9,0.630157703099448,0.595773111175723,0.551326808969665,0.414370652562654,0.678602678256439,0.8820256,3,0.829763135518775,5.70048,7,0.575125073955926,0.693147421395471
